id,EDANid,imageURL,thumbnail
01429,edanmdm:npg_S_NPG.2002.184.92,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_92,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_92/full/250,/0/default.jpg"
01430,edanmdm:npg_S_NPG.2002.184.919,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_919,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_919/full/250,/0/default.jpg"
01431,edanmdm:npg_S_NPG.2002.184.918,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_918,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_918/full/250,/0/default.jpg"
01432,edanmdm:npg_S_NPG.2002.184.917,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_917,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_917/full/250,/0/default.jpg"
01433,edanmdm:npg_S_NPG.2002.184.916,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_916,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_916/full/250,/0/default.jpg"
01434,edanmdm:npg_S_NPG.2002.184.915,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_915,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_915/full/250,/0/default.jpg"
01435,edanmdm:npg_S_NPG.2002.184.914,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_914,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_914/full/250,/0/default.jpg"
01436,edanmdm:npg_S_NPG.2002.184.913,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_913,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_913/full/250,/0/default.jpg"
01437,edanmdm:npg_S_NPG.2002.184.912,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_912,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_912/full/250,/0/default.jpg"
01438,edanmdm:npg_S_NPG.2002.184.911,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_911,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_911/full/250,/0/default.jpg"
01439,edanmdm:npg_S_NPG.2002.184.910,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_910,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_910/full/250,/0/default.jpg"
01440,edanmdm:npg_S_NPG.2002.184.91,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_91,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_91/full/250,/0/default.jpg"
01441,edanmdm:npg_S_NPG.2002.184.909,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_909,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_909/full/250,/0/default.jpg"
01442,edanmdm:npg_S_NPG.2002.184.908,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_908,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_908/full/250,/0/default.jpg"
01443,edanmdm:npg_S_NPG.2002.184.907,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_907,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_907/full/250,/0/default.jpg"
